2022-01-31T16:38:25|CRITICAL|root|Unhandled exception:Traceback (most recent call last):
2022-01-31T16:38:25|INFO|PowerMeterOptimizerMeasure|powermeter_optimizer start_stop False
2022-01-31T16:38:25|INFO|PowerMeterOptimizerMeasure|measurement powermeter_optimizer stopping stop_first
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for sequencer measurement sequencer
2022-01-31T16:38:25|INFO|Sequencer|sequencer start_stop False
2022-01-31T16:38:25|INFO|Sequencer|measurement sequencer stopping stop_first
2022-01-31T16:38:25|WARNING|HydraHarpOptimizerMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|WARNING|HydraHarpHistogramMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|WARNING|PowerScanMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|WARNING|PowerMeterOptimizerMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|WARNING|Sequencer|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|WARNING|APDOptimizerCBMeasurement|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for apd_optimizer measurement apd_optimizer
2022-01-31T16:38:25|INFO|APDOptimizerCBMeasurement|apd_optimizer start_stop False
2022-01-31T16:38:25|INFO|APDOptimizerCBMeasurement|measurement apd_optimizer stopping stop_first
2022-01-31T16:38:26|INFO|NearFieldMicroscope|ini settings loading from near_field_microscope_defaults.ini
2022-01-31T16:38:26|DEBUG|FileLQ|save_dir: update_value 'C:\\Users\\RAMAN\\workspace\\NearField\\NearFieldMicroscope\\data' --> 'E:\\Natalie'    sender=None
2022-01-31T16:38:26|DEBUG|FileLQ|save_dir: different values C:\Users\RAMAN\workspace\NearField\NearFieldMicroscope\data E:\Natalie
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/hydraharp
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/thorlabs_powermeter
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/motorized_polarizer
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/apd_counter
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/dynamixel_servos
2022-01-31T16:38:26|INFO|NearFieldMicroscope|hardware/power_wheel
2022-01-31T16:38:26|INFO|NearFieldMicroscope|-->Failed to load config for hardware/power_wheel/pos_scale, new val 280: KeyError('pos_scale')
2022-01-31T16:38:26|INFO|NearFieldMicroscope|ini settings loaded from: near_field_microscope_defaults.ini
2022-01-31T16:38:30|DEBUG|ScopeFoundryHW.thorlabs_powermeter.thorlabs_pm100d|get_auto_range '1\n'
2022-01-31T16:38:30|DEBUG|ScopeFoundryHW.thorlabs_powermeter.thorlabs_pm100d|get_auto_range '1\n'
2022-01-31T16:38:35|INFO|PowerScanMeasure|power_scan start_stop True
2022-01-31T16:38:35|INFO|PowerScanMeasure|measurement power_scan start called from thread: 9304
2022-01-31T16:38:35|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:38:35|INFO|PowerScanMeasure|measurement power_scan stopping run_post_run
2022-01-31T16:38:35|INFO|PowerScanMeasure|measurement power_scan interrupt called
2022-01-31T16:38:38|INFO|PowerScanMeasure|power_scan start_stop True
2022-01-31T16:38:38|INFO|PowerScanMeasure|measurement power_scan start called from thread: 9304
2022-01-31T16:38:41|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:42|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:43|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:44|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:45|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:45|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:46|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:47|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:48|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:49|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:50|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:51|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:52|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:52|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:53|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:54|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:38:54|INFO|PowerScanMeasure|measurement power_scan stopping run_thread_run
2022-01-31T16:38:54|INFO|PowerScanMeasure|measurement power_scan interrupt called
2022-01-31T16:38:54|WARNING|LoggedQuantity|count_rate read_from_hardware called when not connected to hardware
2022-01-31T16:38:54|INFO|PowerScanMeasure|data saved E:\Natalie\220131_163854_power_scan.h5
2022-01-31T16:38:57|DEBUG|ScopeFoundryHW.ni_daq.devices.ni_counter_task|NI_CounterTask.set_channel-- Dev1/ctr0 /Dev1/PFI0
2022-01-31T16:38:59|INFO|PowerScanMeasure|power_scan start_stop True
2022-01-31T16:38:59|INFO|PowerScanMeasure|measurement power_scan start called from thread: 9304
2022-01-31T16:39:21|INFO|PowerScanMeasure|data saved E:\Natalie\220131_163921_power_scan.h5
2022-01-31T16:39:21|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:39:21|INFO|PowerScanMeasure|measurement power_scan stopping run_post_run
2022-01-31T16:39:21|INFO|PowerScanMeasure|measurement power_scan interrupt called
2022-01-31T16:39:25|INFO|PowerScanMeasure|power_scan start_stop True
2022-01-31T16:39:25|INFO|PowerScanMeasure|measurement power_scan start called from thread: 9304
2022-01-31T16:40:18|INFO|PowerScanMeasure|data saved E:\Natalie\220131_164017_power_scan.h5
2022-01-31T16:40:18|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:40:18|INFO|PowerScanMeasure|measurement power_scan stopping run_post_run
2022-01-31T16:40:18|INFO|PowerScanMeasure|measurement power_scan interrupt called
